State,HighQ,HighQN,MedQ,MedQN,LowQ,LowQN,date
Alabama,339.06,1042,198.64,933,149.49,123,1/1/2014
Alaska,288.75,252,260.6,297,388.58,26,1/1/2014
Arizona,303.31,1941,209.35,1625,189.45,222,1/1/2014
Arkansas,361.85,576,185.62,544,125.87,112,1/1/2014
California,248.78,12096,193.56,12812,192.92,778,1/1/2014
Colorado,236.31,2161,195.29,1728,213.5,128,1/1/2014
Connecticut,347.9,1294,273.97,1316,257.36,91,1/1/2014
Delaware,373.18,347,226.25,273,199.88,34,1/1/2014
District of Columbia,352.26,433,295.67,349,213.72,39,1/1/2014
Florida,306.43,6506,220.03,5237,158.26,514,1/1/2014
Georgia,332.21,3099,213.52,2269,153.45,229,1/1/2014
Hawaii,310.96,328,270.38,350,160.46,25,1/1/2014
Idaho,276.05,315,254.96,445,132.61,20,1/1/2014
Illinois,359.74,4008,287.23,3644,181.25,329,1/1/2014
Indiana,336.8,1665,206.24,1446,154.05,248,1/1/2014
Iowa,371.7,697,292.34,649,252.24,103,1/1/2014
Kansas,353.51,838,260.97,628,124.27,109,1/1/2014
Kentucky,337.33,1013,183.17,986,120.31,132,1/1/2014
Louisiana,377.71,1071,243.26,864,153.73,224,1/1/2014
Maine,321.1,450,259.18,425,214.8,52,1/1/2014
Montana,279.73,585,257.98,258,734.65,22,1/1/2014
Nebraska,352.64,508,247.03,510,142.99,62,1/1/2014
Nevada,269.61,899,218.67,928,231.08,61,1/1/2014
New Hampshire,366.47,422,289.81,441,561.05,38,1/1/2014
New Jersey,354.91,2244,294.39,2799,225.62,185,1/1/2014
New Mexico,293.86,565,216.55,434,63.7,42,1/1/2014
New York,351.98,5800,268.88,5824,190.38,482,1/1/2014
North Carolina,355.88,2775,247.26,1911,152.09,226,1/1/2014
North Dakota,412.84,137,361.95,200,269.55,13,1/1/2014
Ohio,336.63,3050,212.44,2817,168.87,399,1/1/2014
Oklahoma,364.57,754,228.12,664,121.6,131,1/1/2014
Oregon,213.49,1612,188.55,1336,175.87,61,1/1/2014
Maryland,380.03,1963,248.71,1546,196.59,152,1/1/2014
Massachusetts,354.84,2878,297.28,2467,217.89,219,1/1/2014
Michigan,299.36,3048,277.63,2529,227.48,230,1/1/2014
Minnesota,371.18,1712,280.57,1532,183.29,101,1/1/2014
Mississippi,340.28,410,150.02,350,137.29,95,1/1/2014
Missouri,371.57,1559,241.63,1287,153.48,204,1/1/2014
Pennsylvania,372.68,3829,266.44,3205,194.12,364,1/1/2014
Rhode Island,335.29,529,262.07,360,207.93,33,1/1/2014
South Carolina,349.42,1153,201.99,902,176.93,119,1/1/2014
South Dakota,387.8,161,362.7,167,125.68,20,1/1/2014
Tennessee,359.75,1546,223.62,1220,200.59,147,1/1/2014
Texas,343.33,5985,235.87,5631,141.96,850,1/1/2014
Utah,291.54,684,233.11,664,169.84,42,1/1/2014
Vermont,379.88,277,323.31,224,187.06,24,1/1/2014
Virginia,374.01,2472,288.44,1959,223.02,202,1/1/2014
Washington,236.03,2351,192.06,2345,148.33,108,1/1/2014
West Virginia,360.8,350,197.75,367,158.25,40,1/1/2014
Wisconsin,357.99,1623,267.95,1368,229.91,125,1/1/2014
Wyoming,355.9,93,378.95,134,161.3,11,1/1/2014
Alabama,337.54,1539,208.24,1463,NA,182,1/1/2015
Alaska,303.02,350,270.45,475,NA,37,1/1/2015
Arizona,298.51,2638,209.43,2426,NA,306,1/1/2015
Arkansas,341.68,846,207.2,836,NA,145,1/1/2015
California,243.96,16512,189.35,19151,NA,1096,1/1/2015
Colorado,243.72,3148,195.11,2877,NA,178,1/1/2015
Connecticut,337.26,1835,267.99,2069,NA,126,1/1/2015
Delaware,364.19,490,234.72,431,NA,41,1/1/2015
District of Columbia,348.66,657,281.93,578,NA,49,1/1/2015
Florida,300.88,9369,217.05,8166,NA,695,1/1/2015
Georgia,324.3,4422,217.17,3467,NA,303,1/1/2015
Hawaii,307.64,452,263.45,522,NA,30,1/1/2015
Idaho,275.37,450,245.14,672,NA,35,1/1/2015
Illinois,353.97,5623,282.59,5525,NA,451,1/1/2015
Indiana,332.48,2385,214.43,2247,NA,326,1/1/2015
Iowa,364.92,975,289.05,1045,NA,122,1/1/2015
Kansas,350.24,1160,260.7,999,NA,138,1/1/2015
Kentucky,338.76,1491,173.9,1506,NA,180,1/1/2015
Louisiana,361.51,1521,240.78,1350,NA,317,1/1/2015
Maine,312.3,620,234.89,657,NA,61,1/1/2015
Montana,265.51,738,241.42,364,NA,32,1/1/2015
Nebraska,335.65,695,246.33,723,NA,76,1/1/2015
Nevada,266.14,1237,226.59,1431,NA,78,1/1/2015
New Hampshire,353.87,599,289.07,658,NA,51,1/1/2015
New Jersey,345.31,3058,286.53,4197,NA,256,1/1/2015
New Mexico,289.04,800,219.28,665,NA,68,1/1/2015
New York,343.8,7840,263.56,8716,NA,616,1/1/2015
North Carolina,345.24,4111,245.87,3030,NA,314,1/1/2015
North Dakota,393.94,213,339.6,327,NA,23,1/1/2015
Ohio,332.59,4242,218.93,4269,NA,550,1/1/2015
Oklahoma,354.61,1115,238.15,1073,NA,195,1/1/2015
Oregon,205.8,2179,180.9,2018,NA,95,1/1/2015
Maryland,366.01,2863,255.84,2463,NA,193,1/1/2015
Massachusetts,345.62,4002,285.84,3783,NA,289,1/1/2015
Michigan,288.06,3990,270.77,3728,NA,295,1/1/2015
Minnesota,351.55,2365,272.96,2467,NA,128,1/1/2015
Mississippi,335.1,612,150.49,550,NA,143,1/1/2015
Missouri,351.6,2217,244.97,2114,NA,299,1/1/2015
Pennsylvania,362.89,5523,269.42,4978,NA,503,1/1/2015
Rhode Island,317.15,721,258.95,560,NA,47,1/1/2015
South Carolina,337,1684,205.71,1414,NA,164,1/1/2015
South Dakota,357.05,222,348.81,256,NA,25,1/1/2015
Tennessee,348.89,2243,225.38,1912,NA,219,1/1/2015
Texas,334.2,8241,233.6,8583,NA,1147,1/1/2015
Utah,290.42,959,238.08,1055,NA,62,1/1/2015
Vermont,371.23,357,308.86,367,NA,32,1/1/2015
Virginia,364.95,3514,293.02,3085,NA,285,1/1/2015
Washington,233.01,3341,189.92,3564,NA,160,1/1/2015
West Virginia,359.63,552,224.17,546,NA,60,1/1/2015
Wisconsin,350.49,2246,272.73,2222,NA,167,1/1/2015
Wyoming,320.39,133,351.86,197,NA,12,1/1/2015
Alabama,338.8,1095,200.02,984,152.02,129,2/1/2014
Alaska,288.81,265,254.5,313,388.58,26,2/1/2014
Arizona,303.17,2020,210.19,1705,195.32,229,2/1/2014
Arkansas,359.41,602,183.16,574,128.15,119,2/1/2014
California,248.2,12571,192.8,13406,191.94,804,2/1/2014
Colorado,237.48,2309,198.12,1898,223.47,138,2/1/2014
Connecticut,346.91,1346,273.87,1385,252.88,94,2/1/2014
Delaware,373.91,363,227.38,285,199.88,34,2/1/2014
District of Columbia,349.35,462,292.22,371,211.38,40,2/1/2014
Florida,305.93,6829,219.78,5522,156.94,532,2/1/2014
Georgia,332.05,3237,214.18,2376,154.46,234,2/1/2014
Hawaii,307.76,338,272.99,370,162.11,26,2/1/2014
Idaho,275.3,327,257.48,465,133.75,22,2/1/2014
Illinois,356.89,4192,287.69,3815,176.36,353,2/1/2014
Indiana,335.59,1748,208.28,1527,161.44,255,2/1/2014
Iowa,369.77,725,292.45,684,251.78,105,2/1/2014
Kansas,354.96,862,261.31,669,113.7,111,2/1/2014
Kentucky,338.84,1059,181.5,1031,125.11,138,2/1/2014
Louisiana,374.2,1137,242.75,910,149.56,239,2/1/2014
Maine,319.11,471,259.84,453,214.8,52,2/1/2014
Montana,271.16,601,251.43,272,734.65,22,2/1/2014
Nebraska,349.72,535,248.44,531,142.51,63,2/1/2014
Nevada,270.12,937,219.36,972,252.49,63,2/1/2014
New Hampshire,376.92,449,285.57,472,550.95,40,2/1/2014
New Jersey,354.73,2322,292.57,2934,230.04,199,2/1/2014
New Mexico,293.37,588,205.27,452,63.7,42,2/1/2014
New York,352.35,6051,268.5,6115,190.16,497,2/1/2014
North Carolina,355.37,2921,247.42,2003,151.42,236,2/1/2014
North Dakota,409.28,143,335.38,216,331.9,15,2/1/2014
Ohio,336.65,3182,213.69,2964,167.26,414,2/1/2014
Oklahoma,364.39,791,228.53,715,120.16,136,2/1/2014
Oregon,212.44,1677,188.96,1384,174.52,65,2/1/2014
Maryland,379.62,2063,250.16,1641,194.99,154,2/1/2014
Massachusetts,352.84,2996,296.87,2581,220.8,226,2/1/2014
Michigan,298.18,3162,276.59,2645,228.04,233,2/1/2014
Minnesota,370.4,1787,278.01,1629,181.28,103,2/1/2014
Mississippi,338.86,430,149.19,369,143.99,105,2/1/2014
Missouri,367.31,1635,242.19,1356,149.58,214,2/1/2014
Pennsylvania,371.47,4025,266.6,3397,193.02,384,2/1/2014
Rhode Island,333.52,548,261.15,377,201.75,34,2/1/2014
South Carolina,346.43,1209,202.01,949,171.2,125,2/1/2014
South Dakota,389.9,170,369,174,125.68,20,2/1/2014
Tennessee,358.19,1627,225.32,1302,196.86,157,2/1/2014
Texas,342.07,6250,235.99,5980,142.88,888,2/1/2014
Utah,293.06,712,233.2,718,168.59,44,2/1/2014
Vermont,377.22,289,321.36,242,187.64,25,2/1/2014
Virginia,373.81,2585,287.78,2078,225.76,218,2/1/2014
Washington,235.43,2433,191.21,2465,153.14,114,2/1/2014
West Virginia,364.28,379,197.45,390,158.3,41,2/1/2014
Wisconsin,357.72,1698,270.51,1451,233.39,133,2/1/2014
Wyoming,354.03,94,378.64,137,161.3,11,2/1/2014
Alabama,335.85,1583,209.19,1524,NA,193,2/1/2015
Alaska,302.89,358,271.01,492,NA,37,2/1/2015
Arizona,297.02,2731,208.31,2526,NA,313,2/1/2015
Arkansas,341.84,875,208.99,870,NA,146,2/1/2015
California,243.3,16904,188.95,19764,NA,1123,2/1/2015
Colorado,242.8,3235,195.92,2984,NA,188,2/1/2015
Connecticut,336.04,1871,267.14,2140,NA,131,2/1/2015
Delaware,363.88,504,234.61,448,NA,44,2/1/2015
District of Columbia,347.83,675,282.82,610,NA,49,2/1/2015
Florida,300.26,9662,216.3,8526,NA,711,2/1/2015
Georgia,322.74,4589,216.77,3617,NA,313,2/1/2015
Hawaii,306.34,464,261.94,542,NA,30,2/1/2015
Idaho,275.45,467,243.24,694,NA,36,2/1/2015
Illinois,352.48,5783,282.38,5723,NA,459,2/1/2015
Indiana,331.38,2454,216.18,2335,NA,335,2/1/2015
Iowa,365.1,995,289.48,1088,NA,123,2/1/2015
Kansas,348.95,1191,259.9,1043,NA,142,2/1/2015
Kentucky,338.45,1543,173.71,1565,NA,182,2/1/2015
Louisiana,361.21,1579,241.3,1416,NA,329,2/1/2015
Maine,304.94,632,234.82,683,NA,64,2/1/2015
Montana,265.34,748,247.53,382,NA,32,2/1/2015
Nebraska,335.4,710,243.73,758,NA,76,2/1/2015
Nevada,265.48,1275,226.41,1480,NA,79,2/1/2015
New Hampshire,353.09,612,288.14,673,NA,52,2/1/2015
New Jersey,345.09,3154,285.72,4368,NA,263,2/1/2015
New Mexico,287.82,823,219.03,686,NA,71,2/1/2015
New York,343.09,8058,262.93,9015,NA,628,2/1/2015
North Carolina,344.52,4250,245.55,3151,NA,325,2/1/2015
North Dakota,387.11,216,320.08,345,NA,25,2/1/2015
Ohio,332.48,4386,219.86,4449,NA,562,2/1/2015
Oklahoma,352.64,1161,238.4,1104,NA,200,2/1/2015
Oregon,205.32,2232,180.47,2091,NA,99,2/1/2015
Maryland,362.62,2967,267.45,2563,NA,198,2/1/2015
Massachusetts,343.92,4101,284.48,3924,NA,294,2/1/2015
Michigan,287.5,4080,268.2,3871,NA,306,2/1/2015
Minnesota,347.92,2449,273.52,2574,NA,134,2/1/2015
Mississippi,335.78,639,151.02,577,NA,150,2/1/2015
Missouri,349.57,2284,245.95,2199,NA,304,2/1/2015
Pennsylvania,362.11,5686,269.69,5163,NA,519,2/1/2015
Rhode Island,316.78,731,255.78,592,NA,47,2/1/2015
South Carolina,337.05,1749,205.28,1453,NA,165,2/1/2015
South Dakota,357.66,224,347.72,262,NA,26,2/1/2015
Tennessee,347.43,2313,226.26,2000,NA,231,2/1/2015
Texas,333.39,8483,232.31,8910,NA,1176,2/1/2015
Utah,289.15,983,236.98,1106,NA,66,2/1/2015
Vermont,369.87,367,306.19,384,NA,32,2/1/2015
Virginia,364.61,3620,291.12,3212,NA,294,2/1/2015
Washington,232.87,3429,188.73,3683,NA,162,2/1/2015
West Virginia,358.12,567,226.35,564,NA,60,2/1/2015
Wisconsin,348.79,2306,271.23,2320,NA,170,2/1/2015
Wyoming,322.28,134,350.57,202,NA,12,2/1/2015
Alabama,340.14,1140,202.42,1034,146.33,133,3/1/2014
Alaska,286.78,281,252.51,323,388.58,26,3/1/2014
Arizona,303.05,2093,209.48,1774,195.16,239,3/1/2014
Arkansas,357.73,630,182.91,593,126.75,125,3/1/2014
California,247.6,12988,192.97,13906,191.4,839,3/1/2014
Colorado,237.65,2398,197.59,1984,226.22,145,3/1/2014
Connecticut,347.01,1389,274.19,1457,252.31,95,3/1/2014
Delaware,371.68,376,227.71,295,206.61,36,3/1/2014
District of Columbia,350.61,479,294.21,387,208.53,41,3/1/2014
Florida,305.18,7138,219.71,5810,153.21,549,3/1/2014
Georgia,330.86,3368,213.93,2469,151.92,240,3/1/2014
Hawaii,307.96,353,274.35,382,167.62,27,3/1/2014
Idaho,275.6,335,256.69,490,129.39,24,3/1/2014
Illinois,358.11,4357,287.38,3958,177.98,362,3/1/2014
Indiana,334.51,1827,208.01,1593,168.44,262,3/1/2014
Iowa,370.98,751,291.46,715,247.69,107,3/1/2014
Kansas,352.32,898,261,706,114.26,114,3/1/2014
Kentucky,337.49,1104,181.16,1068,124.52,142,3/1/2014
Louisiana,373.09,1170,242.63,955,149.38,248,3/1/2014
Maine,319.72,481,258.32,468,213.48,53,3/1/2014
Montana,269.87,614,257.03,285,704.89,23,3/1/2014
Nebraska,347.81,554,249.25,553,141.76,65,3/1/2014
Nevada,268.51,961,217.94,1021,252.49,63,3/1/2014
New Hampshire,370.09,463,289.97,481,677.38,41,3/1/2014
New Jersey,353.34,2393,292.02,3049,231.68,207,3/1/2014
New Mexico,291.15,612,216.16,472,69.76,43,3/1/2014
New York,351.18,6209,267.69,6356,189.64,507,3/1/2014
North Carolina,354.52,3039,247.73,2099,151.27,246,3/1/2014
North Dakota,401.47,156,353.27,229,363.11,16,3/1/2014
Ohio,336.13,3306,213.46,3106,165.98,426,3/1/2014
Oklahoma,365.32,821,227.46,743,116.69,145,3/1/2014
Oregon,212.01,1731,188.5,1450,169.34,68,3/1/2014
Maryland,379.56,2147,250.78,1711,191.01,163,3/1/2014
Massachusetts,352.17,3094,295.62,2690,218.96,233,3/1/2014
Michigan,297.46,3241,273.82,2756,226.38,240,3/1/2014
Minnesota,368.88,1845,277.97,1701,181.28,103,3/1/2014
Mississippi,339.99,451,146.75,394,140.36,112,3/1/2014
Missouri,367.25,1707,243.01,1416,149.4,217,3/1/2014
Pennsylvania,370.52,4210,266.67,3571,190.52,394,3/1/2014
Rhode Island,332.54,570,259.33,387,201.75,34,3/1/2014
South Carolina,345.87,1267,202.41,998,186.66,131,3/1/2014
South Dakota,387.89,177,354.47,183,124.17,21,3/1/2014
Tennessee,356.51,1689,226.78,1358,192.43,168,3/1/2014
Texas,341.57,6499,235.59,6267,144.45,933,3/1/2014
Utah,292.86,736,234.54,759,189.78,47,3/1/2014
Vermont,376.96,293,320.6,256,187.64,25,3/1/2014
Virginia,372.81,2662,288.32,2165,226.39,225,3/1/2014
Washington,234.91,2519,191.28,2558,146.32,117,3/1/2014
West Virginia,362.32,403,217.32,403,160.38,43,3/1/2014
Wisconsin,357.14,1755,269.92,1510,238.37,138,3/1/2014
Wyoming,352.41,97,378.46,144,161.3,11,3/1/2014
Alabama,340.7,1206,204.48,1083,145.88,141,4/1/2014
Alaska,287.59,286,256.78,343,388.58,26,4/1/2014
Arizona,302.52,2148,208.67,1857,193.93,251,4/1/2014
Arkansas,352.22,659,183.17,619,129.26,127,4/1/2014
California,246.76,13396,192.91,14527,191.98,863,4/1/2014
Colorado,237.53,2511,196.47,2087,226.28,150,4/1/2014
